sample_id,text,true_label,llama_pred,mistral_pred
1,lalettaaaaaa....luv you.....e movie arengaan wait cheyuneveer endoo,Positive,Positive,Positive
2,ചാക്കോച്ചന്റെ അഞ്ചാംപാതിരായ്ക്ക് വിജയാശംസകളോടെ.... മമ്മൂക്കഫാൻസ്‌ കണ്ണൂർ,Positive,Positive,Positive
3,മാമാങ്കത്തിന് family കുറച്ചു  കുറയാൻ ഉള്ള എല്ലാ സാധ്യതകളും കാണുന്നു . My സാന്റാ  ഒരെ പൊളി .ഒരു beautiful fantasy movie പ്രതീക്ഷിക്കാം. കുട്ടികൾ തന്നെ കേറി വൻ വിജയം ആക്കും . Waitting for തിയേറ്റർ എക്സ്പീരിയൻസ്,Positive,Positive,Positive
4,2019 ലെ ഒരു വലിയ hit  കാസ്റ്റിംഗ്,Positive,Positive,Positive
5,Rajuvetta katta waiting for Lucifer,Positive,Positive,Positive
6,Polichu...  namude ലാലേട്ടൻ.. ...  rajuchettan,Positive,Positive,Positive
7,Oru songil tane itrayum comedy apo onam ittymani kond poyi enu paranjekk,Positive,Negative,Negative
8,Trailer ndoke erakiyalum lalettante record thakarkan lalettanu matre pattu,Positive,Positive,Negative
9,Ittichan da  mwne sanbavm pwlikm !onam winner,Positive,Positive,Positive
10,Padachooone....BGM..kett vaaa polich poyath njn mathram aaahno.?,Positive,Negative,Negative
11,Teateril നിന്ന് ഏറ്റവും കൂടുതൽ കയ്യടി വാങ്ങിയ ഒരു ഭാഗം ഈ സോങ് ആണ്...... enthe crct alle?,Positive,Positive,Positive
12,trailer kaanumbo oru romaanjam.. royal mech.. kidu.. :-),Positive,Positive,Positive
13,പ്രതീക്ഷിച്ചതുപോലെ നല്ലൊരു കിടിലൻ ട്രൈലെർ  fully filled with fantasy  എങ്ങും ഒരു ഹോളിവുഡ് ടച്ച്‌  കൂടെ english സോങ് കൂടി ആയപ്പോ കലക്കി.. അപ്പൊ എന്തായാലും ക്രിസ്മസ്നു ദീലീപേട്ടൻ ഒരു വരവ് വരുകയാ 🤘 എല്ലാവർക്കും എന്റെ ഹാപ്പി ക്രിസ്മസ്,Positive,Positive,Positive
14,Song പൊളിച്ചു last ഇക്ക വരുമെന്ന് വിചാരിച്ചു. ഇക്ക ലേറ്റാ വന്താലും latest aa varuve,Positive,Mixed_feelings,Negative
15,2k19 മമ്മുക്കയുടെ വർഷം ആയത് പോലെ 2k20 മമ്മുക്കയുടെ ആയി മാറട്ടെ,Positive,Positive,Positive
16,Annum Innum Ikkayude Bthday nnu vachal nammal malayalikal ellarum oru atbudama...   Vayasulpade tettate malayalikal parayan  Matethu nadanundu inganoru pretyekata  #Ikka,Positive,Positive,Positive
17,Ittimani onam kondupokum ennu urappullavarke like adikkanulla oru 50 acre ivide vachitunde....edutho...,Positive,Negative,Mixed_feelings
18,"ദിവസവും ഈ പാട്ട് രണ്ട് നേരം എങ്കിലും കേട്ടില്ലങ്കിൽ എന്തോ പോലെ ,പ്രഹസനമല്ല സത്യായിട്ടും.",Positive,Positive,Positive
19,"ഈ സിനിമയെ degrade ചെയ്യാൻ നോക്കുന്നവരൊക്കെ പോയി വേറെ പണി നോക്കടെ... ഞാൻ ഒരു #ലാലേട്ടൻ fan ആണ്, എന്നാലും പറയുവാ ഇതു നല്ലൊരു സിനിമയാണ്... #മമ്മൂക്ക",Positive,Positive,Positive
20,Kurach massum aayittanallo jayetta ipravishathe varav,Positive,Positive,Positive
21,Uff romanjam kond irinaduth ninn njan enit ninn poyi,Positive,Negative,Negative
22,"എന്താടാ നിങ്ങൾ പറഞ്ഞെ.. പഴയ ഡിറക്ടർസ്, പണ്ടത്തെ ആഹ് ഒരു ഗുമൊന്നും ഇപ്പോഴില്ല,  എന്ന് പറഞ്ഞ ചീള് ന്യൂ ജനറേഷനോളികൾ എവിടാടാ??  വാടാ..  വാടാ !! ജോഷി സർ ബാക്ക് ഓൺ താ ഫ്ലോർ !!!!",Positive,Positive,Positive
23,എല്ലാവര്‍ക്കും ഹൃദയം നിറഞ്ഞ ക്രിസ്മസ് ആശംസകള്‍,Positive,Positive,Positive
24,Nalla rasam ubdae,Positive,Positive,Positive
25,ഫഹദ്   polich  movieyil psycho,Positive,Positive,Positive
26,Lalettan polippichengil.  Adik oru big like,Positive,Positive,Positive
27,Addddiiiiipolliiiii.....marana masss.....oru sakshem illa....lalettande kidu look.....🤩🤩,Positive,Positive,Positive
28,അതെ നമ്മുടെ ഏട്ടൻ .I LOVE YOU ലാലേട്ടാ ...,Positive,Positive,Positive
29,Idivett trailer . Mammukka ennum njangalde swantham,Positive,Positive,Positive
30,പയ്യന്നൂർ ന്റെ സ്വന്തം അനശ്വര കുട്ടി യും,Positive,Positive,Positive
31,Trailer le mikka bagangalum theater il miss aayi ennu enikku maathram aano thoniyathu ?? Pala bagangalum cut cheytha pole ?  Enthokke aanelum padam kidu aanu tta..!  Kudos to crew  From #arts_clg,Positive,Positive,Mixed_feelings
32,Trailer il എടുത്തു പറയേണ്ടത് ഇതാണ് “ ഗോപി സുന്ദർ പൊളിച്ചു അടിക്കിയിട്ടുണ്ട് ”. വേറെ ലെവൽ BGM [background music],Positive,Positive,Positive
33,SHANE NTEഫ്രണ്ട് മച്ചാൻ വേറെ ലെവൽ,Positive,Positive,Positive
34,ഫഹദ് ഇക്ക നിങ്ങ പൊളിയാണ്. കഷണ്ടി കാരുടെ അഭിമാനവും ആത്മവിശ്വാസവുമാണ് നിങ്ങൾ  ഫഹദിക്ക ഇഷ്തം,Positive,Positive,Positive
35,Police pwoli anallo...lal inte thirichu varavu...,Positive,Negative,Negative
36,Raja 100 core kadakum ennu urappulavarke like adiche polikanulla button... Ikka,Positive,Negative,Positive
37,മലയാളത്തിന്റെ മാമാങ്ക മഹോത്സവത്തിന് ആയിരങ്ങളുടെ കാത്തിരിപ്പ്. ഫാൻ ഫൈറ്റ് മാറ്റി വെച്ച് ഒന്നിച്ച് പ്രോത്സാഹിപ്പിക്കൂ അതുല്ല്യ മലയാള കലാ കാരന്മാരെ,Positive,Positive,Positive
38,Padam clss ann വേറെ level ayirikum,Positive,Positive,Positive
39,വിരിഞ്ഞ നെഞ്ച് ഉള്ളവർ ഉണ്ടായിട്ട് എന്ത് കാര്യം.. എന്നുമീ ചരിഞ്ഞ തോളിൽ അല്ലേ മലയാള സിനിമഏട്ടൻ,Positive,Positive,Negative
