sample_id,text,true_label,llama_pred,mistral_pred
1,Id oronnonnora psycho thriller movie aayirickum. Idinu munb idu pole oru malayalam trailer njankanditilla,Positive,Mixed_feelings,Mixed_feelings
2,Mamangam keralam kanda ettavum valliya hit akkum,Positive,Positive,Positive
3,Mohanlal prithvi fans like adik lucifer bamber hit akum,Positive,Positive,Positive
4,Namichuuu Ikkaa. Engaluuu pwoliiiyaaanu . Love you ekka,Positive,Positive,Positive
5,Kali bwendaa mwonee ikkka mess daa,Positive,Negative,Negative
6,ഞാൻ കാത്തിരിക്കുന്നത് ആ പഴയ ലാലേട്ടനെ കാണാനാണ് നിഷ്കളങ്കനും ക്യൂട്ട് ആയിട്ടുള്ള പഴയ ലാലേട്ടനെ കാണാൻ. കട്ട വെയ്റ്റിംഗ് ittymany trailer  By mammookka fan,Positive,Positive,Positive
7,Ettan industry hit adichal ikkante hit urappa... Angane aavattee....,Positive,Mixed_feelings,Mixed_feelings
8,ഒരു കാര്യവും പൂർണമായി അറിയാതെ വിമർശിക്കരുതെന്നു ഈ സോങ് മുഴുവൻ കണ്ടപ്പോൾ മനസിലായി,Positive,Positive,Mixed_feelings
9,Kozhikode model school    innum   marikkaatha   vikaaramaanu   geevithathil...,Positive,Negative,Negative
10,Classinu class maassinu mass ijjaathi item raaju ettan      & mammookka,Positive,Positive,Positive
11,Nalla rasam ubdae,Positive,Positive,Positive
12,രാക്ഷസൻ ഇമൈകൾനോടികൾ ഒക്കെ അങ്ങോട്ട് മാറിനിക്ക്  ഇനി ഇവിടെ 5-ആം പാതിര ഭരിക്കും,Positive,Negative,Negative
13,ഈശ്വര... ട്രയ്ലർ കാണാൻ ലേറ്റ് ആയല്ലോ...  വേറെ ലെവൽ പടം ആണല്ലോ....,Positive,Positive,Positive
14,All the best lalletta  oru katta Messi & ikka fan,Positive,Positive,Positive
15,ഇത് വെറുതെ അങ്ങ് പോവുമെന്ന് തോന്നുന്നില്ല.......  thoonum chaari ninnavan pennum kondu poyi ennu parayunna pole ഇട്ടിച്ചായൻ നൈസ് ആയിട്ട് ഈ ഓണം അങ്ങ് പൊക്കും,Positive,Mixed_feelings,Mixed_feelings
16,എല്ലാവരും അഭിനയം പറയുമ്പോൾ ഏറ്റവും പൊളി BGM ആണെന്ന് തോന്നിയത് എനിക്ക് മാത്രമാണോ?  Sushin Shyam,Positive,Mixed_feelings,Mixed_feelings
17,Pwli oru rakshyum illa muthaa ikkaaa,Positive,Negative,Negative
18,Madhura Raja ....Pokkiri Raja....Rajadhi Raja...Bellaadi Raja Raja Always Mammookka Da,Positive,Positive,Positive
19,Entammo   Semma.....   Mass ka bap,Positive,Positive,Positive
20,ഷൈൻ ഒരു രക്ഷയുമില്ല നല്ല വേഷങ്ങൾ കിട്ടട്ടെ,Positive,Negative,Negative
21,"Mwone ,Kanda aranudey mass aairkumenn cinema",Positive,Positive,Positive
22,വരികൾ ഒരു രക്ഷയും ഇല്ല വോയിസ്‌ സൗണ്ട് മോഡ് tottalyy awsome,Positive,Positive,Positive
23,പ്രേക്ഷകരുടെ മനസ്സിൽ നിറഞ്ഞു നിൽക്കുന്ന ഒരു കഥാപാത്രമാവാൻ  ഞങ്ങളുടെ swasuttiku കഴിയട്ടെ. വിജയാശംസകൾ നേരുന്നു 🥰🥰🥰🥰,Positive,Positive,Positive
24,പൊന്നിക്കാ. മവനെ കൊലഗാണ്ടിലിറിക്കെ കൊല്ലാമവിടമാറ്റേ.. ആശംസകൾ എന്ന് മരണം വരെ മമ്മൂക്കാ ഫാൻ..,Positive,Negative,Negative
25,1:14  ആരോ ഒരാളല്ല എന്റെ ഏട്ടൻ  തന്റെ ഏട്ടൻ മാത്രമല്ല ഞങ്ങളുടെ എല്ലാവരുടെയും  സ്വന്തം ലാലേട്ടൻ  ഒരേ ഒരു രാജാവ്,Positive,Positive,Positive
26,കളിയും ചിരിയും ആയി കുട്ടികളെയും കുടുബപ്രേക്ഷകരെയും കയ്യിൽ എടുക്കാൻ സാന്റാ ക്ലൊസ് ആയി ജനപ്രിയ നായകൻ ദിലീപേട്ടൻ എത്തുന്നു.,Positive,Positive,Positive
27,ആമേന് അങ്കമാലിയിൽ ഉണ്ടായ പോലത്തെ item. പോരാത്തതിന് അവസാനം കാണിച്ച ആ പേരും - ജോഷി  The hit maker is back with some  new stuffs,Positive,Positive,Positive
28,Teaser കണ്ടവർ തന്നെ വീണ്ടും വീണ്ടും കാണുന്നവർ അടിമക്കളെ ലൈക്‌....   ഇക്കാ ഉയിർ,Positive,Positive,Mixed_feelings
29,"Cristamasinu.... mamangam, driving license, kozhiyum... polikum",Positive,Mixed_feelings,Mixed_feelings
30,Lalettante ittimanikk...njanga ikkayude piller vaka best of luck,Positive,Positive,Positive
31,Ivanittoru poosha angu pooshiyalo....   Ittichan poli kidu,Positive,Mixed_feelings,Negative
32,Kollaam kollaam nalla oru class transformation okke ulla padamayirikkum,Positive,Positive,Positive
33,Ee aniyan marudea ettan our bigbrother lalettan,Positive,Positive,Positive
34,പുതുമുഖ സംവിധായകർ വലിയ പ്രതീക്ഷ നൽകാത്ത ട്രയ്ലർ ഫാമിലി സിനിമ കൂടെ ഇറങ്ങുന്നത് കട്ട സിനിമകൾ എന്നിട്ടും 100+ ഫാൻസ് ഷോ വച്ച് ബാക്കി എല്ലാ ഓണം റിലീസും പേടിക്കുന്നുണ്ടെങ്കിൽ അത് ഈ സിനിമയുടെ നായകൻ കാരണം മാത്രം ആയിരിക്കും കാരണം ഈ പടത്തിന്റെ നായകൻ നമ്മുടെ സ്വന്തം ഏട്ടൻ ആണ് ലാലേട്ടൻ            എല്ലാ ഏട്ടൻ ഫാൻസിനും ലൈക്ക് അടിക്കാനുള്ള സ്ഥലം താഴെ ഉണ്ട്,Positive,Positive,Mixed_feelings
35,Njanee paattinte katta fsnayi maariyath pole.love this song.love you shine ikka,Positive,Positive,Positive
36,Laletta negal namde muthanu ine vere arkum vitukodikila malayalikalude sothanu lalettan.,Positive,Positive,Negative
37,peru ketapol e unda pottum ennaanu karuthiyath. but unda load aayappol alle manasilaayath.... e unda pottilla,Positive,Negative,Negative
38,എന്താ ഇത് ഐറ്റം ഇക്ക ഇത്ര പ്രതീക്ഷിച്ചീല,Positive,Negative,Negative
39,"ഈ പടം വിജയിക്കും എന്ന് ഉറപ്പുള്ളവർ like അടിക്ക്    ഫഹദ്, ഷെയ്ൻ, സൗബിൻ, ഭാസി ഒരൊന്നൊന്നര കോംബോ തന്നെ",Positive,Positive,Positive
40,Negative aayi onmilla   eattn polikm,Positive,Negative,Negative
41,Ithu pole bgm ulla mass trailer ithu vare iragiyittila .,Positive,Positive,Negative
42,മമൂക്കയുടെ പെൺവേഷത്തിലുള്ള ആദ്യ intro scene തിയേറ്ററിൽ ഇരുന്നു കാണുമ്പോ ഉഫ്ഫ്ഫ് എജ്ജാതി baground music കൂടെ  മമൂക്കയുടെ നടത്തവും ഒരു രക്ഷയുമില്ലാർന്നു,Positive,Positive,Positive
43,Eeswara njn faan ayi marinnu thonnunu ...Shine nte,Positive,Mixed_feelings,Mixed_feelings
44,Njan ഉറപ്പായിട്ടും ഷൈലോക്ക് തിയേറ്ററിൽ പോയ്‌ കാണും ഷൈലോക്ക് 200 കോടി നേടട്ടെ എന്ന് ആശംസിക്കുന്നു ഇക്ക ഉയിർ,Positive,Positive,Positive
45,Nte ponno look oru rakshem elleee,Positive,Mixed_feelings,Positive
46,ഈ  പാട്ട്  വീണ്ടും  വീണ്ടും  കാണാൻ  തോന്നിയവർ  ലൈക് അടിക്കുക.,Positive,Positive,Positive
47,"കുമ്പളങ്ങിയിലെ 3 ആഡാറ് items ഇതിലും ഉണ്ട്‌.. DOPഷൈജു ഖാലിദ്, Editor സൈജു ശ്രീധരൻ, Music സുഷിൻ ശ്യാം... പ്രതീക്ഷകൾ കൂടുന്നു...",Positive,Positive,Positive
48,"ലാലേട്ടാ  🥰🥰🥰🥰🥰🥰പക്ഷെ സിദ്ധിക്ക് സാറിന്റെ direction പണ്ടത്തെ പോലെ ഫലിക്കുമോ എന്ന് കണ്ടറിയാം... മോഹൻലാലിനെ പോലെ ഒരു ലെജൻഡ് ഇനെ ആണ് കയ്യിൽ കിട്ടിയിരിക്കുന്നെ.. മാക്സിമം utilise ചെയ്യണം,",Positive,Positive,Positive
49,ഇക്കാടെ അഹ് 2 step തന്നെ ധാരാളം ആയിരുന്നു തിയറ്റർ ഇളകിമറിയാൻ !,Positive,Negative,Negative
50,വീണ്ടും വീണ്ടും എനിക്ക് കാണാൻ തോന്നുന്നു shylock,Positive,Negative,Negative
51,സത്യം പറയാലോ എന്തൊരു  മോശം ട്രൈലെർ ആണ്,Negative,Negative,Negative
