sample_id,text,true_label,malayalam_density,llama33_70b_pred,llama31_8b_pred,llama4_scout_pred
376,Ennalum davan coolayittu unda vizhungiyathu athra sheriyayilla... Padathil anaganills super..,Mixed_feelings,0.0,Mixed_feelings,Positive,Mixed_feelings
377,Prakash Raj Ullatu kondu chelappo hit aavum,Mixed_feelings,0.0,Positive,Positive,Positive
378,Bgm... എവിടെ ഒക്കെയോ രാക്ഷസൻ Bgm  കേറിവരുന്നു..... നിങ്ങൾക്കു തോന്നിയോ...,Mixed_feelings,0.7384615384615385,Negative,Negative,Mixed_feelings
379,0:11 kandittu ariyaand chirichu poyi... Ethaayalum trollil Kanda athrakku mosham onnum alla ennu manasilayi..,Mixed_feelings,0.0,INVALID,Negative,Negative
380,BG Music nammude CIA yude BGM pole undalo 🤔,Mixed_feelings,0.0,Mixed_feelings,Mixed_feelings,Mixed_feelings
381,Editing മോശമായാൽ visual treat കാണില്ല.  പക്ഷെ director siddhiq ആയോണ്ട് expect ചെയ്യാൻ വല്ലതും കാണും,Mixed_feelings,0.5348837209302325,Mixed_feelings,Mixed_feelings,Mixed_feelings
382,Mamangam Moonjiyath kond...ini ith Hit adich kerikolum,Mixed_feelings,0.0,INVALID,Positive,Mixed_feelings
383,mohanlal fananu but e filim ethraku pokanonnum ella. raju ethilentha amanushikano?,Mixed_feelings,0.0,Mixed_feelings,Negative,Mixed_feelings
384,Nedumudi venu anekil age crt feel aynenee makeup venda..+cmdy ..,Mixed_feelings,0.0,Mixed_feelings,Negative,Negative
385,Everything is connected... ഇത് എവിടെയോ കണ്ടിട്ടുണ്ടല്ലൊ,Mixed_feelings,0.52,INVALID,Mixed_feelings,Mixed_feelings
386,ആാാ മ്യൂസിക് ഗോപി സുന്ദർ ആണ് അതാ  BGM ഇൽ ഒരു രാക്ഷസൻ touch  സെരിയാണോ?,Mixed_feelings,0.8392857142857143,Mixed_feelings,Mixed_feelings,Mixed_feelings
387,കൊറിയൻ ത്രില്ലർ മൂവി മിക്സ് പോലെ ആർക്കേലും തോന്നിയോ eg: No Mercy,Mixed_feelings,0.8181818181818182,INVALID,Mixed_feelings,Mixed_feelings
388,Christmas chronicles ന്റെ മലയാളം അന്നോടാ ഉവ്വേ,Mixed_feelings,0.5365853658536586,Negative,Mixed_feelings,Positive
389,ഓണത്തിനു ജെട്ടിമാണി നൽകിയ ക്ഷീണം ക്രിസ്മസിനു ഇതു മാറ്റുമെന്ന് പ്രതീക്ഷിക്കുന്നു,Mixed_feelings,1.0,INVALID,Negative,Negative
390,Kurachu IDI iyum.. Kurachu Kasaba iyum...ula oru Comfo feel pole indu..,Mixed_feelings,0.0,Mixed_feelings,Mixed_feelings,Positive
391,Srk ടെ fan മൂവി പോലെ ഉണ്ടല്ലോ,Mixed_feelings,0.75,Negative,Negative,Positive
392,Korien movie no mercy pola thonunu,Mixed_feelings,0.0,INVALID,Negative,Negative
393,കിളിച്ചുണ്ടൻ മാമ്പഴം എന്ന movie യിലെ പോലെ ശബ്ദം ഫീൽ ചെയ്തത് എനിക്ക് മാത്രമാണോ?,Mixed_feelings,0.9117647058823529,Mixed_feelings,Mixed_feelings,Mixed_feelings
394,Camera style kandappo chapa kurush ormavannu,Mixed_feelings,0.0,INVALID,Mixed_feelings,Positive
395,Itippo nta ann marya kalippilanu christmas version ayrkkm lle,Mixed_feelings,0.0,Mixed_feelings,Mixed_feelings,Negative
396,Valiya pratheesha illa nalla entertainment  aayirikkum,Mixed_feelings,0.0,Positive,Positive,Positive
397,ഇനിയ ഇച്ചിരി വർക്ക്‌ ഔട്ട്‌ ചെയ്യുന്നത് നന്നായിരിക്കും,Mixed_feelings,0.9591836734693877,INVALID,Positive,Negative
398,Srk movie- Fan...   Mallu version പോലെ und,Mixed_feelings,0.11764705882352941,Negative,Mixed_feelings,Mixed_feelings
399,Schoolile pillare kandille thaadiyum meeshayum okke undllo 🤔,Mixed_feelings,0.0,Mixed_feelings,Mixed_feelings,Negative
400,Sambavam kollam but,Mixed_feelings,0.0,INVALID,Mixed_feelings,Mixed_feelings
401,എവിടം കൊണ്ടോ ഒരു ലിജോ പെല്ലിശ്ശേരി ടച്ച്......,Mixed_feelings,0.8536585365853658,Positive,Mixed_feelings,Positive
402,Friendship dayikk oru cake medichu kodukk #fresh fresh...,Mixed_feelings,0.0,Positive,Positive,Positive
403,Thoopil Joppan poley ulla oru Item aavand irunnal mathi aarunnu🥺🥺🥺.,Mixed_feelings,0.0,Negative,Negative,Positive
404,Ethilum oru puli Murugan ilathilillilo alle,Mixed_feelings,0.0,Negative,Negative,Negative
405,Ithu pokkiri raja 2 aano atho pulimurugan 2 aanoenthayalum massAll the Best Ikka and team,Mixed_feelings,0.0,Positive,Positive,Positive
406,trailer kandite Padam oru average poleyann,Mixed_feelings,0.0,Mixed_feelings,Mixed_feelings,Mixed_feelings
407,രാക്ഷസൻ സിനിമയുടെ bgm മായി ചെറിയ ഒരു സാമ്യം,Mixed_feelings,0.918918918918919,Mixed_feelings,Mixed_feelings,Mixed_feelings
