sample_id,text,true_label,malayalam_density,llama33_70b_pred,llama31_8b_pred,llama4_scout_pred
1,ഇട്ടിമാണി lalettan  pwolikkum...... കർത്താവേ മിന്നിച്ചേക്കണേ..........,Positive,0.49230769230769234,Positive,Positive,Positive
2,ടോവിനോ ഇച്ചായൻ ഫാൻസിന്റെ എല്ലാവിധ ആശംസകളും ഇട്ടിമാണിക്ക് നേരുന്നു,Positive,1.0,Positive,Positive,Positive
3,"Kumbalanga,thannimathan,velirika,vazhuthanaga,muringika....etc athum kazhinju kanjiyum payarum pinne nannum,kappayum mulakum....malaya cinemayil eni perukal theernu thudangi...appo nammal porichu podichu thinnua papadathina pollum verutha vidathila,ennthoke anaakilum,eniku vineeth sreenivasannte film eshtamanu,ethra pothiya pazhaya super stars undakilum...",Positive,0.0,Mixed_feelings,Mixed_feelings,Negative
4,ഗാനഗന്ധർവ്വൻ ദാസേട്ടന്റെ ശബ്‌ദ മാധുര്യം കിടിലൻ...... ഈ പ്രായത്തിലും ഇങ്ങനെ പാടാൻ ആരുണ്ട് ഇന്ത്യ യിൽ.,Positive,0.9101123595505618,Positive,Positive,Positive
5,Oru pidiyum kittunilalo rajuettaaa ingal pandee mass filimsinta aaalaaaa,Positive,0.0,Negative,Positive,Positive
6,am a lalettan fan... but lalettane arum pokendaa... director prithviannuu,Positive,0.0,Mixed_feelings,Mixed_feelings,Mixed_feelings
7,Entta ponnu laletta.... Parayan vakkukal illa  Mass ka bapp,Positive,0.0,Positive,Positive,Positive
8,സൂപ്പർ song... ദാസേട്ടൻ & മമ്മൂക്ക കോമ്പിനേഷൻ super,Positive,0.7111111111111111,Positive,Positive,Positive
9,Yentha perfection maargam kaliku... Athangu kalakki ...,Positive,0.0,Positive,Mixed_feelings,Negative
10,Eee പടം adhar ayirikum enthoke suspense ഒളിഞ്ഞു irikunu,Positive,0.20833333333333334,Mixed_feelings,Positive,Positive
11,എത്ര വട്ടം കണ്ടു. Big brother ന്റെ ടീസർ കണ്ട് ക്ഷീണം മാറ്റാൻ വീണ്ടും.,Positive,0.7966101694915254,Positive,Negative,Positive
12,ധര്മജന്റെ ആ ഡയലോഗ് (അച്ചന്മാർക്ക് എനർജി കിട്ടിയാൽ കുഴപ്പമാ )തീയേറ്ററിൽ ഉണ്ടാക്കാൻ പോകുന്ന ഓളം ഊഹിക്കാൻ കഴിയുന്നില്ല,Positive,0.9805825242718447,Positive,Mixed_feelings,Positive
13,ബോളീവുഡ് നിലവാരത്തിൽ നല്ല ഒതുക്കമുള്ള ട്രൈലർ. ലാഗിങ്ങ് ഒരിക്കലും ഈ സിനിമയിൽ ഉണ്ടാവില്ല. എല്ലാ സീനുകളും  മികച്ച പെർഫെക്ഷനോട് കൂടെ ഒതുക്കത്തോടെ  ആയിരിക്കും.  സിനിമ സൂപ്പർ ഹിറ്റ്  ആയിരിയ്ക്കും.   നഗറ്റീവ് പറയുന്നവർ  ട്രൈലറിൽ  നിന്ന്  എന്താണ്  പ്രതീക്ഷിക്കുന്നത്.  ഞാൻ  ഒരു മമ്മൂട്ടി ഫാൻ ആണ് ..,Positive,0.9715447154471545,Positive,Positive,Positive
14,Mammukka ithil polikm enu oru katta ettan fan,Positive,0.0,Positive,Positive,Positive
15,Ithada mass ..!!! Enta laletta ummmmaaaa...!!! 🥰🥰,Positive,0.0,Positive,Positive,Positive
16,ഇതാണ് മക്കളെ വെര ലെവല്‍ പടം,Positive,0.9565217391304348,Positive,Positive,Positive
17,Lalettan etra bhangiyaya dance cheytat. Kurachu koode dance scenes venam aarunnu. Pettannu teernna pole..,Positive,0.0,Mixed_feelings,Mixed_feelings,Positive
18,Mammoookkaaaa polichadukkiii katta waiting nv 21,Positive,0.0,Positive,Positive,Positive
