sample_id,text,true_label,malayalam_density,llama33_pred,llama4_pred,gemma_pred,qwen3_pred,mistral_pred,gemini_pred
1,ഇട്ടിമാണി lalettan  pwolikkum...... കർത്താവേ മിന്നിച്ചേക്കണേ..........,Positive,0.49230769230769234,Positive,Positive,INVALID,INVALID,INVALID,INVALID
2,ടോവിനോ ഇച്ചായൻ ഫാൻസിന്റെ എല്ലാവിധ ആശംസകളും ഇട്ടിമാണിക്ക് നേരുന്നു,Positive,1.0,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
3,"Kumbalanga,thannimathan,velirika,vazhuthanaga,muringika....etc athum kazhinju kanjiyum payarum pinne nannum,kappayum mulakum....malaya cinemayil eni perukal theernu thudangi...appo nammal porichu podichu thinnua papadathina pollum verutha vidathila,ennthoke anaakilum,eniku vineeth sreenivasannte film eshtamanu,ethra pothiya pazhaya super stars undakilum...",Positive,0.0,Mixed_feelings,Negative,INVALID,INVALID,INVALID,INVALID
4,ഗാനഗന്ധർവ്വൻ ദാസേട്ടന്റെ ശബ്‌ദ മാധുര്യം കിടിലൻ...... ഈ പ്രായത്തിലും ഇങ്ങനെ പാടാൻ ആരുണ്ട് ഇന്ത്യ യിൽ.,Positive,0.9101123595505618,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
5,Oru pidiyum kittunilalo rajuettaaa ingal pandee mass filimsinta aaalaaaa,Positive,0.0,Positive,Negative,INVALID,Mixed_feelings,INVALID,INVALID
6,am a lalettan fan... but lalettane arum pokendaa... director prithviannuu,Positive,0.0,Mixed_feelings,Negative,INVALID,INVALID,INVALID,INVALID
7,Entta ponnu laletta.... Parayan vakkukal illa  Mass ka bapp,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
8,സൂപ്പർ song... ദാസേട്ടൻ & മമ്മൂക്ക കോമ്പിനേഷൻ super,Positive,0.7111111111111111,Positive,Positive,INVALID,INVALID,INVALID,INVALID
9,Yentha perfection maargam kaliku... Athangu kalakki ...,Positive,0.0,Positive,Negative,INVALID,INVALID,INVALID,INVALID
10,Eee പടം adhar ayirikum enthoke suspense ഒളിഞ്ഞു irikunu,Positive,0.20833333333333334,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
11,എത്ര വട്ടം കണ്ടു. Big brother ന്റെ ടീസർ കണ്ട് ക്ഷീണം മാറ്റാൻ വീണ്ടും.,Positive,0.7966101694915254,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
12,ധര്മജന്റെ ആ ഡയലോഗ് (അച്ചന്മാർക്ക് എനർജി കിട്ടിയാൽ കുഴപ്പമാ )തീയേറ്ററിൽ ഉണ്ടാക്കാൻ പോകുന്ന ഓളം ഊഹിക്കാൻ കഴിയുന്നില്ല,Positive,0.9805825242718447,Positive,Positive,INVALID,INVALID,INVALID,INVALID
13,ബോളീവുഡ് നിലവാരത്തിൽ നല്ല ഒതുക്കമുള്ള ട്രൈലർ. ലാഗിങ്ങ് ഒരിക്കലും ഈ സിനിമയിൽ ഉണ്ടാവില്ല. എല്ലാ സീനുകളും  മികച്ച പെർഫെക്ഷനോട് കൂടെ ഒതുക്കത്തോടെ  ആയിരിക്കും.  സിനിമ സൂപ്പർ ഹിറ്റ്  ആയിരിയ്ക്കും.   നഗറ്റീവ് പറയുന്നവർ  ട്രൈലറിൽ  നിന്ന്  എന്താണ്  പ്രതീക്ഷിക്കുന്നത്.  ഞാൻ  ഒരു മമ്മൂട്ടി ഫാൻ ആണ് ..,Positive,0.9715447154471545,Positive,Positive,INVALID,INVALID,INVALID,INVALID
14,Mammukka ithil polikm enu oru katta ettan fan,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
15,Ithada mass ..!!! Enta laletta ummmmaaaa...!!! 🥰🥰,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
16,ഇതാണ് മക്കളെ വെര ലെവല്‍ പടം,Positive,0.9565217391304348,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
17,Lalettan etra bhangiyaya dance cheytat. Kurachu koode dance scenes venam aarunnu. Pettannu teernna pole..,Positive,0.0,Mixed_feelings,Positive,INVALID,Mixed_feelings,INVALID,INVALID
18,Mammoookkaaaa polichadukkiii katta waiting nv 21,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
19,Innu 8 thavana repeat adich kandu baki nale,Positive,0.0,Positive,Negative,INVALID,INVALID,INVALID,INVALID
20,ഹെഡ് ഫോണില്‍ കേട്ടാല്‍  ഒരു തവണ കേട്ട്  നിര്‍ത്താന്‍ പറ്റില്ല  ഈസോങ്ങ്,Positive,0.9322033898305084,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
21,മവനെ കൊല ഗാണ്ടിലിരുക്കെ.. കൊല്ലാമേ വിടമാട്ടെ  ഒരു മെഗാസ്റ്റാർ അഴിഞ്ഞാട്ടം ..    Boss is BACK,Positive,0.8181818181818182,Positive,Positive,INVALID,INVALID,INVALID,INVALID
22,ithu polikkum  rajuvetta tnx alot,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
23,BGM     Ikka pwolikk.....,Positive,0.0,Negative,Positive,INVALID,INVALID,INVALID,INVALID
24,Oru raksha illa oru adaar item  Marana Mass Ennu Paranjaal ithanu  Super Super Super,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
25,enganem trailer irakkavo.veendum veendum kadittum matiyakunnilla katta waiting for this movie,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
26,The director of Mass entertainers strikes again Joshiy  ഇത് ഒന്നൊന്നര പടം ആയിരിക്കും ജോജു ചേട്ടൻ കിടുക്കി,Positive,0.4777777777777778,Positive,Positive,INVALID,INVALID,INVALID,INVALID
27,Polichu mass alla marana massssss  ikkaaaaaaaaa,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
28,Kalippe....   by katta lalettan fan,Positive,0.0,Mixed_feelings,Negative,INVALID,INVALID,INVALID,INVALID
29,Idakkatta waiting for Mamangam Ikkaa luv u...,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
30,ആരുടേയും അഭിനയം മറ്റൊരാളെക്കാള്‍ മികച്ചതാണ് എന്ന്‌ പറയാ൯ വയ്യ... എല്ലാരു൦ തക൪ത്തു...,Positive,0.8947368421052632,Mixed_feelings,Positive,INVALID,INVALID,INVALID,INVALID
31,Katta waiting madura raja mammokka kidu mass,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
32,Spr item rajuettan nalla making Lalettante karyam parayandallo,Positive,0.0,Mixed_feelings,Positive,INVALID,Mixed_feelings,INVALID,INVALID
33,"Nice,,,,, bgm രാക്ഷസനെ ഓർമപ്പിക്കുന്നു, anyway പൊളിച്ചു.... പടം കാണാൻ തോന്നും trailer കണ്ടാൽ",Positive,0.6341463414634146,Mixed_feelings,Mixed_feelings,INVALID,INVALID,INVALID,INVALID
34,ഈ മൂന്ന് അക്ഷരം മതി ദിലീപ് സിനിമ വേറെ ലെവൽ ആകും🥳🥳🥳🥳എത്രയോ വ്യത്യസ്ത വേഷം ചെയ്യെത്തിട്ടുള്ളതാ ജനപ്രിയ നായകൻ ഇതു പോലെ അഭിനയിക്കാൻ വേറെ ഏത് മലയാള നടന് പറ്റും,Positive,0.9699248120300752,Positive,Positive,INVALID,INVALID,INVALID,INVALID
35,Wowww...different cast... wonderful cinematography..  മലയാളത്തിൽ മഞ്ഞുമലയൊക്കെ ഇത്ര ഭംഗിയിൽ കാണുന്നത് ആദ്യമാണ്...  all the best!,Positive,0.4473684210526316,Positive,Positive,INVALID,INVALID,INVALID,INVALID
36,Polichu...  namude ലാലേട്ടൻ.. ...  rajuchettan,Positive,0.2,Mixed_feelings,Positive,INVALID,INVALID,INVALID,INVALID
37,തിരുമ്പി വന്നിട്ടേന്ന് സൊല്ല്              * ജോഷി*,Positive,0.9393939393939394,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
38,ഈ പടം തിയേറ്ററിൽനിന്നും കണ്ടത് എന്റെ ഭാഗ്യമായി കരുതുന്നു,Positive,1.0,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
39,Da chekka nee poliya bony parayan paranju,Positive,0.0,Negative,Negative,INVALID,INVALID,INVALID,INVALID
40,PRITHVI & TOVINO 🤩Ishtam            LALETTAN  allah... parayanundo Peruthishtam......,Positive,0.0,Mixed_feelings,Positive,INVALID,INVALID,INVALID,INVALID
41,Orupadu naalu koodi oru nalla movie kandu....onnum parayanilla....ente ponno....ooo....kidu....,Positive,0.0,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
42,Variety laletta,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
43,Mammookkka ningal mwuth aaann,Positive,0.0,Negative,Positive,INVALID,INVALID,INVALID,INVALID
44,Ente ponnoo ijjathii marana masss,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
45,Mass itom. Mass dialogue. Lalettan polikum,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
46,"പ്രായം മുഖത്തു എത്തിയെങ്കിലും, അതിനെ വെല്ലുന്ന കഥാപാത്രങ്ങൾ തിരഞ്ഞെടുക്കാൻ കാണിക്കുന്ന തന്റേടം അത് അഭിനന്ദിക്കാതിരിക്കാൻ കഴില്ല",Positive,0.9913793103448276,Positive,Positive,INVALID,INVALID,INVALID,INVALID
47,10 million aayyonn nokkan vannavar indo,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
48,ഈ പുള്ളർ എല്ലാം കൂടെ മലയാള സിനിമയേ ഒരു ലെവലിൽ എത്തിയ്ക്കും,Positive,1.0,Positive,Positive,INVALID,Mixed_feelings,INVALID,INVALID
49,SAMBAVAM HEVY AKKITTUNDE KATTA WAITING FOR RAJA,Positive,0.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
50,മാമാങ്കം വിസ്മയിപ്പിക്കും കാരണം മമ്മൂക്കയാണ് ഹീറോ  മിനിമം ഗ്യാരണ്ടിയുള്ള ഏക നടൻ മമ്മൂക്ക മാത്രം,Positive,1.0,Positive,Positive,INVALID,INVALID,INVALID,INVALID
