sample_id,text,true_label,llama_pred,mistral_pred,is_error,malayalam_pct,text_length,error_category
7,Oru songil tane itrayum comedy apo onam ittymani kond poyi enu paranjekk,Positive,Negative,Negative,True,0.0,72,Sarcasm/Irony Misinterpretation
8,Trailer ndoke erakiyalum lalettante record thakarkan lalettanu matre pattu,Positive,Positive,Negative,True,0.0,74,Clear Sentiment Flip
10,Padachooone....BGM..kett vaaa polich poyath njn mathram aaahno.?,Positive,Negative,Negative,True,0.0,64,Clear Sentiment Flip
14,Song പൊളിച്ചു last ഇക്ക വരുമെന്ന് വിചാരിച്ചു. ഇക്ക ലേറ്റാ വന്താലും latest aa varuve,Positive,Negative,Negative,True,68.05555555555556,83,Clear Sentiment Flip
17,Ittimani onam kondupokum ennu urappullavarke like adikkanulla oru 50 acre ivide vachitunde....edutho...,Positive,Negative,Negative,True,0.0,103,Clear Sentiment Flip
21,Uff romanjam kond irinaduth ninn njan enit ninn poyi,Positive,Negative,Negative,True,0.0,52,Clear Sentiment Flip
22,"എന്താടാ നിങ്ങൾ പറഞ്ഞെ.. പഴയ ഡിറക്ടർസ്, പണ്ടത്തെ ആഹ് ഒരു ഗുമൊന്നും ഇപ്പോഴില്ല,  എന്ന് പറഞ്ഞ ചീള് ന്യൂ ജനറേഷനോളികൾ എവിടാടാ??  വാടാ..  വാടാ !! ജോഷി സർ ബാക്ക് ഓൺ താ ഫ്ലോർ !!!!",Positive,Positive,Negative,True,90.20979020979021,171,Clear Sentiment Flip
31,Trailer le mikka bagangalum theater il miss aayi ennu enikku maathram aano thoniyathu ?? Pala bagangalum cut cheytha pole ?  Enthokke aanelum padam kidu aanu tta..!  Kudos to crew  From #arts_clg,Positive,Positive,Mixed_feelings,True,0.0,195,Mixed Sentiment Confusion
35,Police pwoli anallo...lal inte thirichu varavu...,Positive,Negative,Negative,True,0.0,49,Sarcasm/Irony Misinterpretation
39,വിരിഞ്ഞ നെഞ്ച് ഉള്ളവർ ഉണ്ടായിട്ട് എന്ത് കാര്യം.. എന്നുമീ ചരിഞ്ഞ തോളിൽ അല്ലേ മലയാള സിനിമഏട്ടൻ,Positive,Positive,Negative,True,97.53086419753086,92,Clear Sentiment Flip
41,ആരും സഞ്ചരിക്കാത്ത വഴികളിലൂടെ നിവിൻ സഞ്ചരിച്ചു തുടങ്ങി,Positive,Positive,Mixed_feelings,True,100.0,54,Mixed Sentiment Confusion
42,kanunnathin  anusarich veendum veendum kanan thonnunu,Positive,Negative,Negative,True,0.0,53,Clear Sentiment Flip
44,Onnum parayanilla... ഒരു pidiyum kittunnilla... waiting for.... pathinettam പടി..... Rockkk Mammookka .,Positive,Positive,Negative,True,6.521739130434782,103,Clear Sentiment Flip
47,Kure  നാളുകളായി ഒരു സാധാരണ പടം ആഗ്രഹിക്കുന്നു. അത് ഇതിലുണ്ടാവണമെന്ന് പ്രതീക്ഷിക്കുന്നു,Positive,Positive,Mixed_feelings,True,93.5064935064935,86,Mixed Sentiment Confusion
48,"ഈ പാട്ടിനു എങ്ങനെ ഡിസ്‌ലൈക്ക് അടിക്കാൻ തോന്നി?? ആ സ്റ്റേജിൽ ഉള്ളവരിൽ ഏറ്റവം നന്നായി കളിച്ചതു ലാലേട്ടൻ ആണെന്ന് ആർക്കൊകെ തോന്നി, സ്റ്റീഫൻ നെടുമ്പള്ളി തന്നെ ആണോ ith? ഓണം ഇട്ടിച്ചായൻ കൊണ്ടുപോകും, ഉറപ്പ്.",Positive,Positive,Mixed_feelings,True,94.28571428571428,199,Mixed Sentiment Confusion
53,Trailer കാണുന്നേ മുൻപേ like അടിച്ചവർ ഇവടെ കമോണ്,Positive,Negative,Negative,True,73.17073170731707,47,Clear Sentiment Flip
54,Entae jeevathil ithrayum pravishyam trailer kanda verae oru cinemayum illa,Positive,Negative,Negative,True,0.0,74,Clear Sentiment Flip
57,Enta ikka polichu   Kidu item  Ethu polikkum,Positive,Positive,Negative,True,0.0,44,Clear Sentiment Flip
60,Ella recordum theerkaan kazhiyatte ennaasamsikunnu...Enkil maathre e record marakaar release aavumbo thiruthaan saadhikku,Positive,Negative,Negative,True,0.0,121,Clear Sentiment Flip
62,Mmale Thrissurile jedikale film..ith pwolikum tta,Positive,Negative,Negative,True,0.0,49,Sarcasm/Irony Misinterpretation
63,E padathinte making ushar aanenu thonunu..  Trailer kanditt padam kandathokem thallipoli aayirnu.  But trailer pwolichu,Positive,Mixed_feelings,Mixed_feelings,True,0.0,119,Sarcasm/Irony Misinterpretation
71,ചിന്ത പാളുന്ന കൊല്ലകൊല്ലി ഐറ്റം   മാമാങ്കത്തിൽ ക്ലാസ്സ്‌ ആയിരുന്ന ഇക്ക  ഷൈലോക്കിൽ ട്രിപ്പിൾ മാസിൽ,Positive,Positive,Mixed_feelings,True,98.80952380952381,97,Mixed Sentiment Confusion
74,ഇൗ പിള്ളേരൊക്കെ പറയുവല്ലോ എന്തുവാ കൊലമാസ്സ്‌ അത് തന്നെ,Positive,Negative,Negative,True,97.91666666666666,54,Clear Sentiment Flip
77,ഭവനെ... കൊല ഗാണ്ടിലെ ഇറുക്ക്... ഹഹ...കൊല്ലാമ വിടമാട്ടേൻ...   ന്റമ്മോ ജ്ജാതി ഡയലോഗ്,Positive,Positive,Negative,True,83.33333333333334,82,Clear Sentiment Flip
79,ഇത് എപ്പ പൊളിച്ചൂന്ന് ചോദിച്ചാ പോരെkatta waiting...................,Positive,Negative,Negative,True,50.0,67,Clear Sentiment Flip
80,inni Kanji chodichu Arum varandaa....Assalu Biriyani thanne Thannittund.         Lucifer,Positive,Positive,Negative,True,0.0,88,Clear Sentiment Flip
83,Enne pole katta waiting ayi nikunavar adi oru,Positive,Negative,Negative,True,0.0,45,Clear Sentiment Flip
84,ആദ്യത്തെ സംസാരം കേട്ടപ്പോ ഓർത്ത് കരിക്കിലെ പിള്ളേരും ഉണ്ടെന്ന്  സൗബിനിക്ക വാട്ട്‌ a ട്രാൻസ്ഫോർമേഷൻ മാൻ   കട്ട വെയ്റ്റിംഗ്   Ps: ഭാവന സ്റ്റുഡിയോസ്  പോത്തേട്ടൻ അറ്റെൻഷൻ ടു ഡീറ്റെയിൽസ് കിടുക്കാച്ചി.,Positive,Positive,Mixed_feelings,True,96.42857142857143,195,Mixed Sentiment Confusion
89,Oru rakshayum illa..joli kazhin ksheenichirangiya enik ippo oru energy okke thonunu.. #Mamangam,Positive,Positive,Negative,True,0.0,95,Clear Sentiment Flip
94,ഷിൻറെ ഒപ്പം വേറെയും രണ്ടുമൂന്നു പേരുണ്ട് അവരെ ആരും  കണ്ടില്ലേ... അവരെയും ഒന്ന് സപ്പോർട്ട് ചെയ്തോടെ...Feelgood  song,Positive,Positive,Mixed_feelings,True,82.17821782178217,115,Mixed Sentiment Confusion
96,Eeee mothaline thakarkkan iny aarada ullathu,Positive,Negative,Negative,True,0.0,44,Clear Sentiment Flip
103,Ittimaniyil... LOVE und.... ACTION  illa....DRAMA und... Movie bore adipikilla..Poi.. Kandu.. Istapetu...,Positive,Negative,Mixed_feelings,True,0.0,105,Mixed Sentiment Confusion
105,മരണം എന്ന മൂന്നക്ഷരത്തേ... പോരാട്ടം കൊണ്ട് ഭയപ്പെടുത്തിയ ചാവേർപടയുടെ വീരനായകന്റെ കഥ   ചാവേർപ്പടയുടെ മാമാങ്കം,Positive,Positive,Mixed_feelings,True,96.875,108,Mixed Sentiment Confusion
109,Thakarthutto...  Onnalla orupaadu kaaranangalaa...  ith thakarkkum...,Positive,Negative,Negative,True,0.0,69,Clear Sentiment Flip
112,Ente ponnu ettaaa ningalu njngale romancham varuthichu kollum,Positive,Positive,Negative,True,0.0,61,Clear Sentiment Flip
115,kaalame ini pirakkumoo ithpoloru vismayam   Mamukka___,Positive,Positive,Mixed_feelings,True,0.0,54,Mixed Sentiment Confusion
117,Ettante padathin positive  kittya pinne oruthanum mutteett karyalla. Muttolamethan polum pattilla,Positive,Negative,Negative,True,0.0,97,Clear Sentiment Flip
118,nyzzzz work,Positive,Negative,Negative,True,0.0,11,Clear Sentiment Flip
123,Vineeth ettan produce cheyyunna   film vere enth nokana,Positive,Positive,Negative,True,0.0,55,Clear Sentiment Flip
124,ചെക്കൻ അടുത്ത natural acter ആവുന്നു തോനുന്നുണ്ടോ..  ഫഹദിനും /സൗബിനും /ഷൈൻ നീഗത്തിനു ശേഷം nxt natural actre,Positive,Positive,Mixed_feelings,True,66.30434782608695,106,Mixed Sentiment Confusion
128,Nalla oru film anuuu ellavarum poyi kanu....,Positive,Positive,Negative,True,0.0,44,Clear Sentiment Flip
130,LAlettanu cheyyankaziunna role mammookakum patilla athupole thanne mammooka cheyunna kathapathram Lalettanum patiyennuvarilla. ethokke nadanmaar inium vannalum manasil kuthikurichittekunna randu perukalaanu Lalettanteum Mammookaudeum,Positive,Negative,Negative,True,0.0,233,Clear Sentiment Flip
131,Inn ni8 full repeat adich kanan ponavar ivide like adicholu,Positive,Negative,Negative,True,0.0,59,Clear Sentiment Flip
132,Petrol vila karanam raja cycilil. polichu!!!!!,Positive,Negative,Negative,True,0.0,46,Clear Sentiment Flip
133,That laugh ente പൊന്നു ഇക്കാ powlichu,Positive,Positive,Negative,True,34.375,37,Clear Sentiment Flip
136,kalakki Kalakki. Onnum parayan illa,Positive,Positive,Negative,True,0.0,35,Clear Sentiment Flip
137,എന്റെ  പൊന്നോ  കണ്ണെടുക്കാൻ  കഴിയുനില്ല,Positive,Negative,Negative,True,100.0,39,Clear Sentiment Flip
141,Uff.... ingnethe oru trailer malayalam industryil thanne vannukanilla. Oru rakshayum illa adaar item thanne aann മമ്മൂക്ക,Positive,Negative,Negative,True,7.547169811320755,121,Clear Sentiment Flip
152,Aadhyamayi midhun machande oru film enik kananam enna oru thonnal indakya film,Positive,Negative,Mixed_feelings,True,0.0,78,Mixed Sentiment Confusion
158,50 സെക്കന്റ് മുതല്‍ ഉള്ള ഡയലോഗ് ഇനി വണ്ടി ഭ്രാന്തന്‍മാരുടെ സ്റ്റാറ്റസായിരിക്കും,Positive,Negative,Negative,True,94.36619718309859,79,Clear Sentiment Flip
160,Padam kndit vndum trailer kanumpo veror feel,Positive,Negative,Negative,True,0.0,44,Clear Sentiment Flip
162,ഇട്ടി കണ്ടു. നല്ല പടം. കുറച്ചു ലാഗ് ഉണ്ട്. ഒരു ഫൈറ്റ് ചേർക്കമായിരുന്നു. ഒരുപാട് ചിരിക്കാൻ ഉണ്ട്. കുറച്ചു A കോമഡി ഉണ്ട്. പക്ഷെ കുടുംബത്തോടെ കാണാം.,Positive,Positive,Mixed_feelings,True,93.65079365079364,145,Mixed Sentiment Confusion
163,Endhu anelum ikka..  Ummah... kidilam,Positive,Negative,Negative,True,0.0,37,Clear Sentiment Flip
167,Mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku Ella industrikaleyum vettichu nammade Malayalam industriye unnatangalil ethikanam,Positive,Positive,Mixed_feelings,True,0.0,179,Mixed Sentiment Confusion
169,Poli oru rakshayum illa...  dileep ettan...,Positive,Negative,Negative,True,0.0,43,Clear Sentiment Flip
170,Licifer vannna ennenthe pooram vanu.....madhuraraja 6 manik thanne poyi......but l is loading...coming....minutes left,Positive,Mixed_feelings,Negative,True,0.0,118,Clear Sentiment Flip
175,അന്നും ഇന്നും  കട്ട മമ്മൂക്ക ഫാൻസ് ആരുണ്ട്,Positive,Positive,Mixed_feelings,True,100.0,42,Mixed Sentiment Confusion
182,ഇതൊരു പൊളി പൊളിക്കും.. എജ്ജാതി കാസ്റ്റിംഗ്. Editing bgm direction art ഒരു രക്ഷേം ഇല്ലാ.. joshy sir strikes with a tsunami.,Positive,Positive,Mixed_feelings,True,47.61904761904761,122,Mixed Sentiment Confusion
187,മമ്മൂക്ക യെ പെൺവേശത്തിൽ  കാണിക്കുന്ന രംഗം കാണണമെങ്കിൽ ചെല്ല്  ടിക്കറ്റ് എടുക്ക്  ടിയട്ടറിൽ കാണാത്തവർ നാളെ Tv യിൽ കാണുമ്പോൾ  ടിയട്ടറിൽ  കാണാൻ പറ്റാത്തത്തിൽ ദുഃഖിക്കും  ഇത് കുറിച്ചിട്ടോ   ആ Bgm  യുദ്ധരംഗം ഹ എജാതി,Positive,Positive,Mixed_feelings,True,97.1590909090909,210,Mixed Sentiment Confusion
188,kidu bgm making dailogue full pwli mood ichayan,Positive,Positive,Negative,True,0.0,47,Clear Sentiment Flip
199,ഇടവേളകളിലെ പഫ്സും ഡ്രിംഗ്സും ക്ലാസുകളിലെ ചെറുകുരുത്തക്കേടുകളും പരീക്ഷകളിലെ മഹത്തായ മാർക്കുകളും ഇനിയൊരിക്കലും തിരിച്ച് കിട്ടാത്ത ആ +1 & +2 കാലത്തെയും ഓർമ്മിപ്പിച്ച്   ഒരു തണ്ണീർമത്തൻ ദിനം  Miss u guyzzzz,Positive,Positive,Mixed_feelings,True,90.3954802259887,202,Mixed Sentiment Confusion
201,Ettan fans like button pottich kaanich kodkk,Positive,Positive,Negative,True,0.0,44,Clear Sentiment Flip
210,Trailer  thanne 100 vattam kaanan thonna..... padam poliyaanu appo...🤘🤘🤘🤘🤘,Positive,Negative,Negative,True,0.0,74,Clear Sentiment Flip
213,Oru rakshayum illaaatha waiting  ഒന്നൊന്നര ട്രൈലെർ,Positive,Negative,Negative,True,36.36363636363637,50,Clear Sentiment Flip
