text,true_label,llama_pred,mistral_pred,ensemble_pred,ensemble_method,llama_correct,mistral_correct,ensemble_correct
lalettaaaaaa....luv you.....e movie arengaan wait cheyuneveer endoo,Positive,Positive,Positive,Positive,agreement,True,True,True
ചാക്കോച്ചന്റെ അഞ്ചാംപാതിരായ്ക്ക് വിജയാശംസകളോടെ.... മമ്മൂക്കഫാൻസ്‌ കണ്ണൂർ,Positive,Positive,Positive,Positive,agreement,True,True,True
മാമാങ്കത്തിന് family കുറച്ചു  കുറയാൻ ഉള്ള എല്ലാ സാധ്യതകളും കാണുന്നു . My സാന്റാ  ഒരെ പൊളി .ഒരു beautiful fantasy movie പ്രതീക്ഷിക്കാം. കുട്ടികൾ തന്നെ കേറി വൻ വിജയം ആക്കും . Waitting for തിയേറ്റർ എക്സ്പീരിയൻസ്,Positive,Positive,Positive,Positive,agreement,True,True,True
2019 ലെ ഒരു വലിയ hit  കാസ്റ്റിംഗ്,Positive,Positive,Positive,Positive,agreement,True,True,True
Rajuvetta katta waiting for Lucifer,Positive,Positive,Positive,Positive,agreement,True,True,True
Polichu...  namude ലാലേട്ടൻ.. ...  rajuchettan,Positive,Positive,Positive,Positive,agreement,True,True,True
Oru songil tane itrayum comedy apo onam ittymani kond poyi enu paranjekk,Positive,Negative,Negative,Negative,agreement,False,False,False
Trailer ndoke erakiyalum lalettante record thakarkan lalettanu matre pattu,Positive,Positive,Negative,Positive,llama_fallback,True,False,True
Ittichan da  mwne sanbavm pwlikm !onam winner,Positive,Positive,Positive,Positive,agreement,True,True,True
Padachooone....BGM..kett vaaa polich poyath njn mathram aaahno.?,Positive,Negative,Negative,Negative,agreement,False,False,False
Teateril നിന്ന് ഏറ്റവും കൂടുതൽ കയ്യടി വാങ്ങിയ ഒരു ഭാഗം ഈ സോങ് ആണ്...... enthe crct alle?,Positive,Positive,Positive,Positive,agreement,True,True,True
trailer kaanumbo oru romaanjam.. royal mech.. kidu.. :-),Positive,Positive,Positive,Positive,agreement,True,True,True
