sample_id,text,true_label,llama_pred,mistral_pred,llama_correct,mistral_correct
1,lalettaaaaaa....luv you.....e movie arengaan wait cheyuneveer endoo,Positive,Positive,Positive,True,True
2,ചാക്കോച്ചന്റെ അഞ്ചാംപാതിരായ്ക്ക് വിജയാശംസകളോടെ.... മമ്മൂക്കഫാൻസ്‌ കണ്ണൂർ,Positive,Positive,Positive,True,True
3,മാമാങ്കത്തിന് family കുറച്ചു  കുറയാൻ ഉള്ള എല്ലാ സാധ്യതകളും കാണുന്നു . My സാന്റാ  ഒരെ പൊളി .ഒരു beautiful fantasy movie പ്രതീക്ഷിക്കാം. കുട്ടികൾ തന്നെ കേറി വൻ വിജയം ആക്കും . Waitting for തിയേറ്റർ എക്സ്പീരിയൻസ്,Positive,Positive,Positive,True,True
4,2019 ലെ ഒരു വലിയ hit  കാസ്റ്റിംഗ്,Positive,Positive,Positive,True,True
5,Rajuvetta katta waiting for Lucifer,Positive,Positive,Positive,True,True
6,Polichu...  namude ലാലേട്ടൻ.. ...  rajuchettan,Positive,Positive,Positive,True,True
7,Oru songil tane itrayum comedy apo onam ittymani kond poyi enu paranjekk,Positive,Negative,Negative,False,False
8,Trailer ndoke erakiyalum lalettante record thakarkan lalettanu matre pattu,Positive,Positive,Negative,True,False
9,Ittichan da  mwne sanbavm pwlikm !onam winner,Positive,Positive,Positive,True,True
10,Padachooone....BGM..kett vaaa polich poyath njn mathram aaahno.?,Positive,Negative,Negative,False,False
11,Teateril നിന്ന് ഏറ്റവും കൂടുതൽ കയ്യടി വാങ്ങിയ ഒരു ഭാഗം ഈ സോങ് ആണ്...... enthe crct alle?,Positive,Positive,Positive,True,True
12,trailer kaanumbo oru romaanjam.. royal mech.. kidu.. :-),Positive,Positive,Positive,True,True
13,പ്രതീക്ഷിച്ചതുപോലെ നല്ലൊരു കിടിലൻ ട്രൈലെർ  fully filled with fantasy  എങ്ങും ഒരു ഹോളിവുഡ് ടച്ച്‌  കൂടെ english സോങ് കൂടി ആയപ്പോ കലക്കി.. അപ്പൊ എന്തായാലും ക്രിസ്മസ്നു ദീലീപേട്ടൻ ഒരു വരവ് വരുകയാ 🤘 എല്ലാവർക്കും എന്റെ ഹാപ്പി ക്രിസ്മസ്,Positive,Positive,Positive,True,True
14,Song പൊളിച്ചു last ഇക്ക വരുമെന്ന് വിചാരിച്ചു. ഇക്ക ലേറ്റാ വന്താലും latest aa varuve,Positive,Negative,Negative,False,False
15,2k19 മമ്മുക്കയുടെ വർഷം ആയത് പോലെ 2k20 മമ്മുക്കയുടെ ആയി മാറട്ടെ,Positive,Positive,Positive,True,True
16,Annum Innum Ikkayude Bthday nnu vachal nammal malayalikal ellarum oru atbudama...   Vayasulpade tettate malayalikal parayan  Matethu nadanundu inganoru pretyekata  #Ikka,Positive,Positive,Positive,True,True
